"","TestY",""
"96451",6338.7,6475.2945358147
"96452",6265.1,6236.0136735237
"96453",6122.4,6122.70594541821
"96454",5899,5989.37820915391
"96455",5650.1,5683.19270266027
"96456",5659.4,5395.61670519162
"96457",5595.3,5582.8729371789
"96458",5467.9,5699.46718797583
"96459",5529.3,5348.20654585278
"96460",5603,5510.97947086926
"96461",5643,5776.94541075066
"96462",5623.4,5710.71248665022
"96463",5656.9,5622.21301355365
"96464",5862.3,5654.65350736264
"96465",6004.6,6030.34607904292
"96466",6304.9,6240.41564245481
"96467",6600.1,6488.71496075887
"96468",6851.3,6932.0558654765
"96469",6820,7064.72866104318
"96470",6732.9,6828.04403256179
"96471",6650.2,6499.69230164908
"96472",6519.9,6515.57677003382
"96473",6393.2,6386.48466860724
"96474",6197.1,6220.19425299912
"96475",6076.8,6010.79563741384
"96476",5890.3,5879.58817808186
"96477",5668.8,5753.55036980528
"96478",5503.4,5424.59234571422
"96479",5608.4,5304.10238601245
"96480",5517.2,5636.87993467536
"96481",5335.5,5136.92500804924
"96482",5134,5385.56416810879
"96483",4912.9,5308.9284748345
"96484",4727.6,4474.74757482442
"96485",4631.3,4559.94122927049
"96486",4488.8,4558.66798100927
"96487",4445.2,4444.30815883211
"96488",4428.4,4377.35183570809
"96489",4433,4478.29677283363
"96490",4424.3,4464.08896538275
"96491",4563.3,4447.70452809798
"96492",4643.8,4647.64063378763
"96493",4811.5,4813.49085865823
"96494",4974.3,4904.76347289972
"96495",5154.6,5159.05377538909
"96496",5413.3,5296.26998208931
"96497",5623.3,5613.38999757122
"96498",5739.1,5845.18236640867
"96499",5763.8,5824.77481516915
"96500",5716.3,5745.59043560207
"96501",5626.5,5632.7641484605
"96502",5505,5510.13036724627
"96503",5391.3,5377.30333097997
"96504",5365.4,5269.31065417138
"96505",5255.5,5322.32430315533
"96506",5169.7,5233.83303683936
"96507",5148.6,5054.4609369385
"96508",5245.1,5137.11684124299
"96509",5329.8,5344.04178616617
"96510",5483.7,5482.97768808737
"96511",5654.4,5606.73526714454
"96512",5811.5,5845.89675533246
"96513",6061.6,5968.86758061474
"96514",6336,6248.75873572213
"96515",6689.8,6612.0815874622
"96516",6972.9,6976.81057342149
"96517",6969.8,7261.47819159622
"96518",6818,6986.0185008697
"96519",6674.2,6549.12517614302
"96520",6554.6,6434.01876960185
"96521",6357.8,6408.50819033485
"96522",6266.9,6180.29133085743
"96523",6133.9,6077.79353376334
"96524",5942.5,6045.78401254416
"96525",5766.5,5735.42868794583
"96526",5614.6,5548.17171916664
"96527",5728.7,5458.48747047709
"96528",5589.5,5746.31841315398
"96529",5420.1,5664.5765963655
"96530",5194.5,5145.74808095642
"96531",5050.1,4999.7900743735
"96532",4815,4880.09610471666
"96533",4634.9,4690.77619838013
"96534",4470.1,4433.30510470923
"96535",4399.2,4370.77963911905
"96536",4341,4340.31240861902
"96537",4308.8,4356.25345672633
"96538",4286,4299.47136082762
"96539",4288.2,4293.40028469955
"96540",4417.3,4300.54441819846
"96541",4566.4,4514.64674325432
"96542",4722.6,4758.77308408666
"96543",4784.4,4864.89502477635
"96544",5008.4,4862.1379458202
"96545",5229.1,5098.71279091731
"96546",5371.4,5492.32502461645
"96547",5455,5500.9803332555
"96548",5460.9,5488.9068569985
"96549",5401,5443.74750956776
"96550",5334,5315.96555837511
"96551",5291.8,5235.92481328983
"96552",5352.4,5240.80345129951
"96553",5314.3,5389.70223444772
"96554",5296.6,5367.2112576418
"96555",5309.8,5233.94707107591
"96556",5419.2,5335.31120827438
"96557",5550.4,5517.29785253718
"96558",5636.6,5722.56506026497
"96559",5718.9,5749.30773970559
"96560",5833.9,5779.82590839596
"96561",5968.6,5930.28432719741
"96562",6270.3,6099.70419521893
"96563",6567.9,6492.24780213749
"96564",6816,6903.35686746647
"96565",6849.1,7025.90231181745
"96566",6762.3,6888.28308785901
"96567",6592.7,6579.12385298963
"96568",6509.5,6371.22379615752
"96569",6321.9,6331.35977841524
"96570",6142.4,6192.4643430668
"96571",6046.8,5890.4281401868
"96572",5848,5905.8814893048
"96573",5637.9,5712.52088057468
"96574",5469.8,5375.20582657648
"96575",5536,5281.61693078716
"96576",5419,5531.07004240403
"96577",5284.4,5965.17544275102
"96578",5126.6,4788.72023538351
"96579",4955.8,4602.56189394462
"96580",4819.3,5059.44189889041
"96581",4657.1,4700.45617619184
"96582",4561.8,4561.26646995937
"96583",4507.3,4469.81905928329
"96584",4512.3,4506.86881250026
"96585",4561.1,4544.45535321036
"96586",4625.7,4643.37590192125
"96587",4797.6,4718.26319599809
"96588",5062.1,4938.83324642232
"96589",5500.9,5329.82096289275
"96590",5983.2,5883.69640293025
"96591",6269.1,6476.55745365457
"96592",6690.6,6586.38932370572
"96593",6974.8,6903.45674284537
"96594",7151.5,7311.98637858584
"96595",7068,7244.16162599794
"96596",6874.4,6992.17250342838
"96597",6754.4,6583.30482620506
"96598",6632.9,6555.53482328093
"96599",6472.9,6552.65347422853
"96600",6495.1,6336.01913283254
"96601",6476.9,6440.21831471567
"96602",6420.6,6567.90235692333
"96603",6401.7,6367.59228645277
"96604",6395.8,6364.25050193179
"96605",6341.9,6417.55866921284
"96606",6327.4,6327.6496608195
"96607",6425.1,6290.99684813587
"96608",6531.6,6508.71904994416
"96609",6687.8,6686.16567157068
"96610",7077.3,6816.12057772115
"96611",7286.3,7371.41295387904
"96612",7544.1,7627.74364286917
"96613",7546.3,7643.08323389036
"96614",7553.6,7619.69631276873
"96615",7629.8,7395.21156397693
"96616",7616.2,7642.17694392406
"96617",7504.8,7624.56544315573
"96618",7526.4,7346.77424370844
"96619",7345.5,7414.13251793308
"96620",6965.8,7271.87776546553
"96621",6265.4,6549.1577755097
"96622",5702.9,5611.64356088218
"96623",5777.9,4984.20856307645
"96624",5665.9,5716.01933502311
"96625",5427,5939.21321362183
"96626",5250.7,5156.76300619783
"96627",5102.5,5018.82034456974
"96628",4894.3,5008.47649188929
"96629",4741.5,4760.75642852171
"96630",4663.2,4582.43081614212
"96631",4583.6,4625.53216434965
"96632",4564.4,4577.25250545542
"96633",4567.9,4553.75934185799
"96634",4663,4617.44718275749
"96635",4882.1,4750.15906607961
"96636",5142,5098.94784783105
"96637",5532.3,5429.24538048543
"96638",5947.8,5858.96806088896
"96639",6260.6,6366.027611019
"96640",6667.8,6565.87967080902
"96641",6979.8,6928.64490801239
"96642",7073.4,7308.77039601063
"96643",7094.8,7147.49601460132
"96644",6935.2,7000.76503090695
"96645",6817.4,6790.89170745408
"96646",6660.7,6593.50356005057
"96647",6419.1,6544.40804136654
"96648",6291.9,6205.58573904057
"96649",6209.3,6103.1947525955
"96650",6181.4,6186.67137441832
"96651",6213,6172.16188156723
"96652",6198.4,6262.73815261955
"96653",6235.4,6242.50649760658
"96654",6291.8,6243.23595832172
"96655",6403.5,6375.2117294807
"96656",6516.9,6506.1884809367
"96657",6698.3,6651.05702516143
"96658",6951.1,6840.36722008609
"96659",7209.6,7182.25101849778
"96660",7281.7,7459.10552043522
"96661",7206,7382.49863914804
"96662",7200.2,7061.96396303632
"96663",7181.3,7069.44763938564
"96664",7037.6,7169.91882544678
"96665",6809.9,6903.47932705464
"96666",6641.6,6532.22560221893
"96667",6432.2,6396.17995617774
"96668",6123,6255.10953903127
"96669",5840.3,5827.76403553577
"96670",5632.5,5507.36662531773
"96671",5719.2,5422.22626413943
"96672",5637.5,5734.59285306238
"96673",5458.6,5756.99611224704
"96674",5293.9,5242.37715017725
"96675",5092.8,5101.5564089501
"96676",4926.2,4946.5530597615
"96677",4759.2,4769.31065638744
"96678",4646.9,4652.45271731066
"96679",4602.3,4557.00364664528
"96680",4605.6,4597.08408336053
"96681",4558.5,4653.87021336847
"96682",4675.2,4578.66200779532
"96683",4874.6,4723.50706942942
"96684",5113.4,5123.44692854382
"96685",5553.6,5361.91835724979
"96686",5930.2,5903.27955397504
"96687",6232.9,6376.61373454812
"96688",6561.9,6476.0790163203
"96689",6814.6,6789.32341738928
"96690",6827.8,7052.45098867509
"96691",6734.4,6848.73926066316
"96692",6507.2,6540.94633677751
"96693",6334.7,6275.06154729562
"96694",6083.7,6086.25340619167
"96695",5842.1,5906.08631103296
"96696",5644.5,5584.74934915928
"96697",5523,5466.3853602296
"96698",5482.6,5425.20163637083
"96699",5703.7,5475.11395532593
"96700",5867,5878.53462334693
"96701",5924.8,6176.2956719978
"96702",6009.2,5992.03448875482
"96703",6135.8,6036.45991184348
"96704",6315.6,6260.74543948941
"96705",6441.3,6487.92544635397
"96706",6791.9,6597.51754880118
"96707",7111.6,7003.41930661279
"96708",7349.6,7504.74794566339
"96709",7336.6,7547.11143566295
"96710",7233,7330.34365025133
"96711",7083.5,7009.51380692175
"96712",6982.9,6885.27890207304
"96713",6791.2,6820.41307836285
"96714",6612.6,6636.41071806007
"96715",6482.9,6368.06071269601
"96716",6280.6,6326.07924567609
"96717",5978.9,6116.77963228653
"96718",5731.2,5678.66222484576
"96719",5830.8,5426.89420400128
"96720",5706.4,5831.09821228387
"96721",5485.3,5831.06792319105
"96722",5341.7,5203.26913300168
"96723",5158.2,5149.73679128803
"96724",4993.4,5060.50049084115
"96725",4890.5,4840.46381309458
"96726",4795.9,4813.33932392004
"96727",4738.2,4765.94176507042
"96728",4721.9,4705.75946588489
"96729",4757.2,4738.35234297212
"96730",4821.1,4815.97261310723
"96731",5010.5,4913.22453799982
"96732",5281.2,5168.17742467579
"96733",5708.8,5566.62188113556
"96734",6191.7,6080.69461657463
"96735",6569.2,6672.99156625772
"96736",6960.4,6946.05197515809
"96737",7246.9,7227.587842301
"96738",7234.4,7513.59040787263
"96739",7070.3,7232.88103752602
"96740",6756.5,6795.14901845552
"96741",6406.6,6428.24650112829
"96742",6108.5,6019.67024967918
"96743",5817,5805.26347902183
"96744",5645.4,5583.32216404582
"96745",5541.9,5466.68406011269
"96746",5480.9,5500.76824515247
"96747",5518.7,5462.07691776885
"96748",5562.3,5560.2439500162
"96749",5573.6,5666.28359303342
"96750",5748.4,5613.25816371727
"96751",5955,5854.45018095444
"96752",6211.3,6224.06354684253
"96753",6492.3,6446.78223538283
"96754",6866.8,6759.92621017955
"96755",7240.8,7176.67340130434
"96756",7595.5,7604.55119866309
"96757",7685.7,7891.47982229023
"96758",7612,7803.65243294696
"96759",7505.8,7426.44095701291
"96760",7385.9,7301.50080319456
"96761",7182.7,7228.68592565083
"96762",7042.6,6980.94319346697
"96763",6793.9,6818.74506564914
"96764",6556.3,6601.25993660388
"96765",6273.7,6254.81777691636
"96766",6028.5,6015.45993125044
"96767",6053.6,5756.95670823555
"96768",5913.8,6000.39425494517
"96769",5689.1,5966.93996643566
"96770",5464.4,5429.22751154586
"96771",5311.1,5228.36501211027
"96772",5112.5,5166.96684275369
"96773",4985.1,5004.14862634074
"96774",4919.4,4849.96529947507
"96775",4869.1,4903.10170634714
