"","x"
"282",4780.58402291988
"283",4573.67753559455
"284",4417.81615111983
"285",4187.81321670995
"286",4170.6615984542
"287",4190.33773657424
"288",4592.83131276519
"289",4438.22893525042
"290",4088.31912276899
"291",3964.95174683343
"292",3874.11559868428
"293",3788.05598889666
"294",3739.13634742538
"295",3733.27711728871
"296",3786.91623681873
"297",3811.95632816509
"298",3959.93181216241
"299",4089.42722915432
"300",4320.4813497533
"301",4541.14797061488
"302",4878.81814014986
"303",4993.97169029782
"304",4965.98858782548
"305",5136.41757937809
"306",5204.35295378698
"307",5170.41102710044
"308",5114.73508521206
"309",5072.32775557702
"310",5128.46454535013
"311",5122.78786257939
"312",5165.85171056709
"313",5157.82105038923
"314",5176.05181312083
"315",5127.57261464015
"316",5148.40065987495
"317",5123.8285291429
"318",5182.84614150449
"319",5202.58906919406
"320",5209.87673876397
"321",5263.55426042354
"322",5297.35370054403
"323",5287.26528474728
"324",5125.4711911573
"325",5019.73496147937
"326",4872.60015068051
"327",4815.77160328133
"328",4677.04573645189
"329",4742.69762579576
"330",4737.03106172227
"331",4561.60780545104
"332",4307.13130991062
"333",4147.09108161577
"334",4180.793323651
"335",4172.55926665082
"336",4647.12734914071
"337",4563.49790595575
"338",4062.3197885728
"339",3989.29281281062
"340",3877.0225607919
"341",3718.82338546132
"342",3718.31269192028
"343",3657.41054098264
"344",3711.79242250889
"345",3811.34631371257
"346",3937.8552592249
"347",4018.96409268445
"348",4298.25592812956
"349",4457.48874570994
"350",4780.70950465663
"351",4957.74528864765
"352",4881.06904009858
"353",5004.54238910837
"354",5089.44903071123
"355",5002.63246504577
"356",4995.89237716817
"357",4959.17614834497
"358",4928.00157293761
"359",4993.45604275854
"360",4976.59925276103
"361",4962.3755874987
"362",4840.70034682005
"363",5047.54737986544
"364",5049.33615564269
"365",5059.05421783478
"366",5151.68793310198
"367",5243.90942480627
"368",5326.72553525925
"369",5409.23973050786
"370",5356.17896710099
"371",5375.23005584329
"372",5152.54116363233
"373",5092.68024381722
"374",4906.11836551921
"375",4789.19641957043
"376",4739.66440961663
"377",4767.40679290966
"378",4752.99205900369
"379",4642.97007197572
"380",4456.80476474513
"381",4289.55213635827
"382",4318.0590641154
"383",4336.68722243705
"384",4723.41075400457
"385",4063.65872809696
"386",4493.39586150858
"387",4004.64191513223
"388",4007.02925606593
"389",3816.44795019803
"390",3850.97474955539
"391",3731.58066612698
"392",3797.95098585363
"393",3764.055745646
"394",3886.76723708523
"395",3817.75859544707
"396",3937.18952493657
"397",3988.60219377736
"398",4166.912639345
"399",4286.14917863285
"400",4268.47336678021
"401",4429.28264967644
"402",4473.19413464277
"403",4516.37239241704
"404",4526.84619659153
"405",4481.71801305374
"406",4429.02470575109
"407",4423.17995364395
"408",4368.67916107913
"409",4388.81161883026
"410",4376.53792857317
"411",4327.03243433902
"412",4444.00945780281
"413",4443.18944466898
"414",4563.79342228243
"415",4640.76554599607
"416",4770.48601564145
"417",4845.05168072203
"418",4903.91927611376
"419",5003.07073915088
"420",5023.8506357384
"421",4967.92692234809
"422",4881.53272012915
"423",4773.69507077089
"424",4695.71074520252
"425",4649.01404270833
"426",4779.78044451399
"427",4590.45392236207
"428",4419.5535620555
"429",4269.71471325126
"430",4253.10756791398
"431",4270.07515515522
"432",4740.16397047336
"433",4471.18605215415
"434",4079.30737931478
"435",3946.54906326374
"436",3896.98400977149
"437",3731.86522706828
"438",3674.32679944369
"439",3639.15057693387
"440",3664.97056708633
"441",3645.85405431765
"442",3702.98651364368
"443",3763.6253583946
"444",3823.46395409054
"445",3795.36686331921
"446",3961.29517735812
"447",4015.77137245578
"448",3942.364274362
"449",4101.85724162823
"450",4194.34144901397
"451",4255.49620289816
"452",4352.57440035045
"453",4369.41484563201
"454",4418.66440772162
"455",4513.33171434536
"456",4586.27417427885
"457",4659.84266741784
"458",4770.34384857616
"459",4914.58185779551
"460",5054.80211178466
"461",5224.86875975249
"462",5370.0437605631
"463",5544.12623131429
"464",5749.5100445236
"465",5917.35968402624
"466",6009.87606989465
"467",6206.52495176502
"468",6175.88413839034
"469",6057.843262546
"470",5799.61982560032
"471",5672.69145057283
"472",5477.4896604428
"473",5411.32701534987
"474",5439.61334924242
"475",5243.36998511065
"476",5010.50249390271
"477",4760.33491010871
"478",4686.85005724873
"479",4639.49431757091
"480",5109.36576051485
"481",5352.91516327605
"482",4127.40451671285
"483",4335.49486066382
"484",4215.03416862135
"485",4173.26464218334
"486",4133.56826576169
"487",4113.78619184005
"488",4145.39771503544
"489",4198.06103401948
"490",4367.18900454261
"491",4510.73679359485
"492",4745.56206026302
"493",5014.24457790492
"494",5410.37070831953
"495",5638.2337426512
"496",5631.50365686739
"497",5939.08989501566
"498",6106.86130928422
"499",6167.13422149237
"500",6336.051713998
"501",6365.14999025823
"502",6670.80382464152
"503",7048.77573006171
"504",7088.55250808993
"505",7147.16815123591
"506",7419.78568379382
"507",7553.51121976685
"508",7642.66750724049
"509",7921.36178637252
"510",7963.15106054365
"511",8153.66084759559
"512",7754.6300388129
"513",7183.22210103687
"514",7084.88046753165
"515",6953.25484547068
"516",6622.89625168352
"517",6391.77417610136
"518",6143.41472831246
"519",5904.34202994892
"520",5778.05446965488
"521",5615.83266765823
"522",5626.03697364683
"523",5340.92517472087
"524",4973.30511279143
"525",4774.02539025768
"526",4659.32731554485
"527",4782.619854144
"528",5240.26308093188
"529",4954.18000480653
"530",4537.633158312
"531",4455.19076288165
"532",4324.03340763093
"533",4235.09416436478
"534",4225.67726479541
"535",4131.13190184673
"536",4256.41599237848
"537",4264.19240313387
"538",4428.44050496551
"539",4481.16354208783
"540",4809.88338013295
"541",4978.47359793216
"542",5392.93823621298
"543",5545.50528434692
"544",5538.79101207385
"545",5666.49934624764
"546",5676.58463292429
"547",5683.98642677757
"548",5805.11884421579
"549",5755.99625490305
"550",5830.7964196869
"551",5940.19343088222
"552",6046.59941869433
"553",6028.44851375709
"554",6212.19986461794
"555",6152.43938011996
"556",6410.95690669678
"557",6505.32210546306
"558",6626.1122058788
"559",6667.3871349713
"560",6880.14297061535
"561",7022.88298690994
"562",7055.17128891059
"563",7042.76579316223
"564",6809.52690434818
"565",6689.18207232201
"566",6500.68579757642
"567",6271.08561248961
"568",6076.83435911539
"569",5934.64043502462
"570",5895.08223192675
"571",5675.21805214478
"572",5297.48916325079
"573",4999.88916164844
"574",4868.10049866906
"575",4825.44379681197
"576",5288.54689273695
"577",5004.84359403183
"578",4580.01145261912
"579",4414.16529183014
"580",4324.25210933812
"581",4193.94088361331
"582",4135.06491876736
"583",4158.9204199859
"584",4228.3592840282
"585",4250.97298835897
"586",4434.89461442645
"587",4628.93053318227
"588",4906.42826917112
"589",5161.08956142608
"590",5502.22367135456
"591",5760.99744637492
"592",5897.4690461782
"593",6007.06383715708
"594",6357.02296358898
"595",6436.84914845326
"596",6784.28481356888
"597",6806.4166147454
"598",7211.60892791143
"599",7568.7397684482
"600",7796.77782162941
"601",7966.49226967877
"602",8256.75035028539
"603",8288.0647162293
