"","x"
"289",4437.88823091215
"290",4087.53803481584
"291",3964.30168351301
"292",3873.60583297882
"293",3787.62995505654
"294",3738.82129897502
"295",3733.04628255079
"296",3786.79904884175
"297",3811.77220322161
"298",3959.82897819606
"299",4089.22064085544
"300",4320.2801677965
"301",4540.80165271319
"302",4878.48652434043
"303",4993.19981299318
"304",4964.6727597217
"305",5134.96122666316
"306",5202.63585591661
"307",5168.3073945011
"308",5112.40601894392
"309",5069.86478751204
"310",5126.17032119873
"311",5120.56583784437
"312",5163.91741952472
"313",5156.1141071106
"314",5174.73043396872
"315",5126.53530993341
"316",5147.84574959636
"317",5123.63186073304
"318",5183.16657856109
"319",5203.25777473645
"320",5210.86018147406
"321",5264.82653325342
"322",5298.83244047849
"323",5288.75889688508
"324",5126.73845160618
"325",5020.82620186689
"326",4873.4527329166
"327",4816.44767874731
"328",4677.4069090211
"329",4743.02000393738
"330",4737.1734527466
"331",4561.27632415991
"332",4306.36378994809
"333",4146.12298091475
"334",4179.98571733669
"335",4171.77737036006
"336",4647.15008322731
"337",4563.26840827102
"338",4061.37126667284
"339",3988.60468568613
"340",3876.45157803604
"341",3718.23152840122
"342",3717.94951294026
"343",3657.04815293662
"344",3711.56177925268
"345",3811.18747689349
"346",3937.7055724881
"347",4018.64281047666
"348",4298.03209149607
"349",4457.02558435116
"350",4780.25255815051
"351",4956.97728018941
"352",4879.65212379128
"353",5002.93578794119
"354",5087.6345604881
"355",5000.36476529715
"356",4993.49613061182
"357",4956.65558996838
"358",4925.50054151376
"359",4991.18493053053
"360",4974.50831749703
"361",4960.52459666798
"362",4839.0374289638
"363",5046.63520891158
"364",5048.79510769933
"365",5058.8844753493
"366",5152.06638725317
"367",5244.72467697566
"368",5327.92037147518
"369",5410.72660762552
"370",5357.68648797963
"371",5376.8467639115
"372",5153.82018356502
"373",5093.905941106
"374",4907.01593555806
"375",4789.86607098049
"376",4740.16779852223
"377",4767.8213030499
"378",4753.1835785877
"379",4642.83733279081
"380",4456.27895416106
"381",4288.80644504656
"382",4317.41729062313
"383",4336.14688306311
"384",4723.49608234632
"385",4072.72814841438
"386",4488.4760006184
"387",4004.95849550844
