"","V1"
"221",624.199752799166
"222",547.720451020952
"223",495.787451899644
"224",438.42694093742
"225",365.637116266019
"226",217.454040126806
"227",34.2448064859527
"228",-136.344210062634
"229",-300.453048454322
"230",-424.855726402031
"231",-510.358699846244
"232",-507.122453966004
"233",-446.483579745214
"234",-432.761362504324
"235",-519.040684159992
"236",-548.931391012823
"237",-438.812635894952
"238",-297.078499072574
"239",199.992104121685
"240",367.713065780876
"241",231.684859370745
"242",183.671892701701
"243",148.631953351974
"244",59.2694537144544
"245",-0.510711955678744
"246",-106.665215863344
"247",-164.89898524309
"248",-223.376899692926
"249",-223.352483531959
"250",-236.797750181381
"251",-158.411610397187
"252",-79.4790522377234
"253",50.5500099972814
"254",157.994514908075
"255",33.7199573099097
"256",61.3881862253165
"257",20.2024331026832
"258",-252.435893301428
"259",-83.5498206177635
"260",84.3116925374279
"261",92.0855930322723
"262",143.4043461596
"263",153.281083035558
"264",155.342888333063
"265",213.781568604242
"266",258.090084601577
"267",230.253861189023
"268",192.769334526477
"269",161.267142596143
"270",206.823966414376
"271",177.454733810681
"272",149.885178416157
"273",83.5130369822218
"274",-43.7260989779043
"275",-273.365615409226
"276",-438.759626644136
"277",-631.848669388295
"278",-789.907267794718
"279",-907.242392736564
"280",-893.915052637924
"281",-793.362369857048
"282",-807.904169032025
"283",-818.425879151784
"284",-864.437901152363
"285",-783.919949870424
"286",-627.466674749117
"287",-206.357567271263
"288",-37.37931826571
"289",-116.43204375628
"290",-156.45193178354
"291",-187.081796773193
"292",-227.71783427854
"293",-276.355763720175
"294",-317.752876493619
"295",-342.514724322211
"296",-391.406816372419
"297",-389.183311391206
"298",-382.016861865028
"299",-317.807022028956
"300",-231.439427609096
"301",-63.0646445349394
"302",11.6356104299248
"303",-37.3738267678655
"304",10.5682307514262
"305",42.5643492508289
"306",19.215269491724
"307",-29.2027067278941
"308",-66.7392109370203
"309",-32.1579712862922
"310",-2.22719937151578
"311",53.6655574017977
"312",87.5467037892722
"313",119.207365268004
"314",102.739820595989
"315",96.5288119618681
"316",59.0700924082321
"317",46.4936165970093
"318",14.6753822603778
"319",-45.0703657811673
"320",-85.518576391416
"321",-134.972194560903
"322",-208.596309526919
"323",-382.624986755362
"324",-546.913018632123
"325",-718.401618211774
"326",-817.865984054983
"327",-920.11375926536
"328",-876.506622085039
"329",-797.38236204354
"330",-799.361468070058
"331",-865.530030331989
"332",-889.499107599912
"333",-764.649068970904
"334",-609.175214345509
"335",-140.657681633379
"336",92.5161961666854
"337",-55.1543346577146
"338",-91.6060951310874
"339",-130.082527737029
"340",-221.380450940923
"341",-255.996201711689
"342",-326.787683413309
"343",-361.061053943646
"344",-365.782422637622
"345",-357.806542194603
"346",-379.306652629545
"347",-294.082889076585
"348",-237.321461328128
"349",-89.3735023464496
"350",18.0787113041397
"351",-47.800536802577
"352",-35.9506045385642
"353",-6.06946258071002
"354",-62.6568991078675
"355",-92.8371330775226
"356",-117.560308407173
"357",-133.39065708966
"358",-77.2968858403965
"359",-47.2670282886438
"360",-28.1751568365034
"361",-88.3306139316201
"362",18.658420656011
"363",54.9762401442531
"364",50.6181583192583
"365",78.4137004545801
"366",104.038444912359
"367",120.006227308158
"368",124.04169988162
"369",41.2415291935276
"370",-30.6597518581302
"371",-237.496575887844
"372",-389.624091585414
"373",-575.883857339933
"374",-723.351405956312
"375",-783.634703575129
"376",-749.395740155113
"377",-677.472605512909
"378",-641.886077330193
"379",-647.822522891152
"380",-653.693266350386
"381",-523.878930363354
"382",-349.975056474489
"383",71.6379877617183
"384",234.372651781128
"385",648.640529921971
"386",578.179501057267
"387",583.858495277059
"388",504.780525588017
"389",482.949098911081
"390",393.706168244557
"391",347.245444575724
"392",265.400700023587
"393",229.017075953074
"394",106.721239061061
"395",40.2129736055035
"396",-20.9939981053253
"397",-19.3508642005295
"398",1.56005634055055
"399",-67.0969825564825
"400",-26.0613556344988
"401",-16.4310376579451
"402",5.69419189160635
"403",14.2901355359154
"404",1.50668361127646
"405",-25.7203488586611
"406",-17.4596088264443
"407",-32.3990574328718
"408",-7.41268189123821
"409",2.39027321033973
"410",-23.2982614020311
"411",28.7061305836951
"412",29.8988986029908
"413",71.2097160865533
"414",97.8143220098164
"415",138.02672500171
"416",151.47176265495
"417",137.546299158426
"418",148.385077244211
"419",122.453886264684
"420",49.2978115521419
"421",-50.0244592868403
"422",-151.688201173918
"423",-219.001110568813
"424",-229.824896046045
"425",-89.8973544329319
"426",-71.738958919078
"427",-82.7357609001929
"428",-73.3987573563818
"429",27.1917674032156
"430",192.84062123394
"431",658.867796912648
"432",776.486115012075
"433",647.794998223072
"434",586.357824694484
"435",571.231373816924
"436",490.319071622562
"437",417.32484817823
"438",351.791089600675
"439",297.111949816797
"440",211.82165355164
"441",139.865804284439
"442",76.6715401730962
"443",3.439126118687
"444",-120.417225913411
"445",-144.748205552234
"446",-182.235624608331
"447",-304.614713495811
"448",-291.424322986011
"449",-258.161895743659
"450",-220.226671208413
"451",-148.342299063154
"452",-100.658333614194
"453",-38.5383971125893
"454",65.5494333856577
"455",169.317773608369
"456",272.393219981331
"457",389.867118121962
"458",527.631995322099
"459",658.272870611196
"460",795.185802083165
"461",906.801077555439
"462",1017.89505590371
"463",1141.18237095411
"464",1241.98849057485
"465",1285.31091408844
"466",1375.98502399663
"467",1350.87725383394
"468",1233.6333373021
"469",1010.3126143378
"470",842.740466082185
"471",678.709855641655
"472",611.859737280637
"473",668.552980051891
"474",643.669779454252
"475",580.324755355115
"476",499.80758437749
"477",531.738657919886
"478",625.323461413691
"479",1064.58266684334
"480",1178.72977538326
"481",523.152338021989
"482",459.439522504682
"483",413.236238116805
"484",381.74659468611
"485",353.175206276362
"486",299.665142963583
"487",264.511242357193
"488",219.648412348995
"489",243.822938830456
"490",260.36264137864
"491",335.968465082495
"492",450.155300626287
"493",670.873135393526
"494",831.240832643341
"495",833.023834852365
"496",981.183961725953
"497",1119.62443842752
"498",1191.34669046368
"499",1325.02772998347
"500",1399.91866116679
"501",1636.35651667295
"502",1986.0738705515
"503",2165.78398560341
"504",2284.31410106907
"505",2511.7562008972
"506",2683.80344600456
