"","V1"
"96567",6632.85159995211
"96568",6404.98869719846
"96569",6363.85337376719
"96570",6105.34275025868
"96571",5924.94423541998
"96572",5873.69272301451
"96573",5610.58370753978
"96574",5396.03963644208
"96575",5257.86526372983
"96576",5466.56822385707
"96577",5732.34791064596
"96578",4831.57373747246
"96579",4974.43291046155
"96580",4813.50993545866
"96581",4715.80472485777
"96582",4556.8785064687
"96583",4518.87785425207
"96584",4502.99763902699
"96585",4554.15983258252
"96586",4635.62868301297
"96587",4712.59256112632
"96588",4946.39492778038
"96589",5257.63126585245
"96590",5784.37909427285
"96591",6270.54976973593
"96592",6418.8584540462
"96593",6900.90065754738
"96594",7082.87888314666
"96595",7180.2626387605
"96596",6934.57235437656
"96597",6676.88635669615
"96598",6604.90767833527
"96599",6487.47800701848
"96600",6312.49701342615
"96601",6450.55943814463
"96602",6414.670233247
"96603",6344.90363240526
"96604",6358.31259960021
"96605",6369.34373839222
"96606",6296.14172190624
"96607",6313.35047193556
"96608",6481.39049370027
"96609",6591.95923731636
"96610",6772.77181072126
"96611",7287.95895095504
"96612",7372.18061873746
"96613",7641.63806472521
"96614",7475.74442283535
"96615",7473.26866537807
"96616",7575.12722206045
"96617",7492.60933915835
"96618",7311.48377770927
"96619",7401.33516342536
"96620",7091.96341839346
"96621",6596.13985099131
"96622",5719.85506069324
"96623",5261.42114595306
"96624",5726.59467200463
"96625",5508.06333837374
"96626",5207.35912784433
"96627",5085.83664375862
"96628",4971.9592799545
"96629",4747.34286201213
"96630",4647.36573752389
"96631",4630.4191360919
"96632",4564.54027103966
"96633",4593.01295311509
"96634",4617.96994039731
"96635",4770.90800292572
"96636",5060.39656808918
"96637",5335.37625890187
"96638",5788.50761291308
"96639",6199.20600855041
"96640",6431.02865393101
"96641",6873.99965460168
"96642",7108.62067273396
"96643",7057.9027110707
"96644",7028.72491991392
"96645",6760.14503155591
"96646",6670.73665845041
"96647",6496.46573747844
"96648",6214.48598047573
"96649",6167.18657013173
"96650",6121.64720875647
"96651",6136.26829331533
"96652",6211.83587326188
"96653",6178.09442481517
"96654",6253.56175615362
"96655",6326.65136689862
"96656",6473.15881206383
"96657",6585.99270381593
"96658",6802.28840654428
"96659",7086.44140443598
"96660",7332.77006406923
"96661",7278.98972477275
"96662",7104.46862498173
"96663",7129.23479534356
"96664",7089.19579431515
"96665",6860.02573247429
"96666",6575.52949187398
"96667",6437.47961078156
