"","V1"
"96568",6403.65481646102
"96569",6362.63872923723
"96570",6104.65216804356
"96571",5924.54750751074
"96572",5873.36004706929
"96573",5610.67169268566
"96574",5396.33773595907
"96575",5258.19451186928
"96576",5466.37431581413
"96577",5741.74831110984
"96578",4827.53525299882
"96579",4975.21607562198
"96580",4814.27744352255
"96581",4716.46488730509
"96582",4557.58869147194
"96583",4519.47456301754
"96584",4503.55896039538
"96585",4554.67880389205
"96586",4636.17358926756
"96587",4713.2707876739
"96588",4947.03143981544
"96589",5258.23946388121
"96590",5784.72932528975
"96591",6270.86250892375
"96592",6419.69138975197
"96593",6901.54330163313
"96594",7083.86711461008
"96595",7181.55297121653
"96596",6936.53637567333
"96597",6679.24224655729
"96598",6607.18382184272
"96599",6489.71637912355
"96600",6314.70187039575
"96601",6452.13529248964
"96602",6415.97984242767
"96603",6345.92441212128
"96604",6358.86069172315
"96605",6369.45219727494
"96606",6295.9717626413
"96607",6312.7585480635
"96608",6480.22677011834
"96609",6590.47191621129
"96610",6770.9316998982
"96611",7285.36065791163
"96612",7369.76514631558
"96613",7639.03437680327
"96614",7473.73067063533
"96615",7471.4213851508
"96616",7573.31483093902
"96617",7491.1873749526
"96618",7310.52572456323
"96619",7400.31474129164
"96620",7091.58015347807
"96621",6596.47387220022
"96622",5721.28754625715
"96623",5262.98346985795
"96624",5726.91012522606
"96625",5508.68882392543
"96626",5208.24072623826
"96627",5086.57545767954
"96628",4972.59687548387
"96629",4748.09349010448
"96630",4648.01822067075
"96631",4630.93625596933
"96632",4565.11747463197
"96633",4593.56576618004
"96634",4618.62025776133
"96635",4771.53861896947
"96636",5060.92681391457
"96637",5335.97707077727
"96638",5788.96490770224
"96639",6199.70685269582
"96640",6431.86702261809
"96641",6874.73415287992
"96642",7109.60970917263
"96643",7059.45143075376
"96644",7030.5431561797
"96645",6762.46189047501
"96646",6673.03210535444
"96647",6498.81704894025
"96648",6216.94488456833
"96649",6169.24170762838
"96650",6123.33054356953
"96651",6137.48045542589
"96652",6212.50444192822
"96653",6178.43787084124
"96654",6253.3898864924
"96655",6326.04800621209
"96656",6472.07858639894
"96657",6584.59953377785
"96658",6800.49525821008
"96659",7084.27465751612
"96660",7330.42219047941
"96661",7277.00238165919
"96662",7102.93361310676
"96663",7127.76164528019
"96664",7087.9708878001
"96665",6859.34420890613
"96666",6575.36818878112
"96667",6437.51830637394
"96668",6200.35091619474
"96669",5833.68366215939
"96670",5572.78794485428
"96671",5416.69209209339
"96672",5681.50866987542
"96673",5503.78714411687
"96674",5279.18536601928
"96675",5138.96163723163
"96676",4934.56700579191
"96677",4807.95982302151
"96678",4659.99092123505
"96679",4598.0620792237
"96680",4608.15620453989
"96681",4650.52714918347
"96682",4582.09443325356
"96683",4800.00695073675
"96684",5045.09997246732
"96685",5298.97553931622
"96686",5843.41386810778
"96687",6162.27856665438
"96688",6402.35022759422
"96689",6728.26447553183
"96690",6917.69792314072
"96691",6777.29118368041
"96692",6616.9197245227
"96693",6312.7706491512
"96694",6178.6355572457
"96695",5889.46554945256
"96696",5665.36718145885
"96697",5506.78763114646
"96698",5442.75625966636
"96699",5461.02760742836
"96700",5841.97086016566
"96701",5971.69341667916
"96702",5970.24069097173
"96703",6074.16271961873
"96704",6226.41922998726
"96705",6434.2693747664
"96706",6521.70378899149
"96707",6993.53310406111
"96708",7275.98637175189
"96709",7446.133317972
"96710",7268.97039277512
"96711",7101.32840500754
"96712",6915.85355739063
"96713",6835.09321609288
"96714",6581.29141821944
"96715",6405.0836345997
"96716",6299.62698946725
"96717",6052.29906889201
"96718",5695.8715258918
"96719",5488.54579609487
"96720",5798.06561058725
"96721",5545.14401970868
"96722",5280.22329886673
"96723",5199.02017044599
"96724",5009.3198091783
"96725",4874.68043981
"96726",4826.44010611798
"96727",4752.99378755737
"96728",4731.53784726042
"96729",4751.01304037617
"96730",4824.23815149801
"96731",4908.42950971207
"96732",5170.08279100273
"96733",5480.23182988177
"96734",5985.19823640801
"96735",6479.05063105666
"96736",6771.61199049386
"96737",7149.49711689132
"96738",7353.92067797967
"96739",7152.25454728612
"96740",6896.27090357772
"96741",6499.07442574279
"96742",6138.70504639447
"96743",5884.09806054672
"96744",5610.25375455338
"96745",5523.12685622518
"96746",5471.41205933633
"96747",5446.14189265513
"96748",5551.09210067776
"96749",5604.71004797551
"96750",5603.38393482467
"96751",5878.05328079128
"96752",6100.73728387788
"96753",6379.88297095065
"96754",6664.80617098329
"96755",7078.95435159811
"96756",7432.15831426204
"96757",7752.64463051999
"96758",7666.3055758302
"96759",7482.37774322816
"96760",7346.66012603496
"96761",7208.89588511779
"96762",6948.75646415053
"96763",6840.13840977777
"96764",6523.67574799448
"96765",6293.68329658099
"96766",5988.90243759576
"96767",5773.73378940973
"96768",5964.37761680026
"96769",5732.83296081175
"96770",5471.62471558831
"96771",5264.89878866571
"96772",5172.40824830562
"96773",4965.98067649853
"96774",4899.8384844352
"96775",4886.85038620856
"96776",4859.26291570464
"96777",4916.80317995663
"96778",4978.86303332525
"96779",5045.73989338897
"96780",5392.09220562153
"96781",5635.25889358383
"96782",6147.03485358752
"96783",6695.28969200912
"96784",6943.44423958238
"96785",7385.66242239072
"96786",7599.01819081854
"96787",7473.15218823197
"96788",7166.12233283048
"96789",6819.83417718363
"96790",6463.69455239223
"96791",5983.24711372527
"96792",5751.69946809043
"96793",5622.46721703849
"96794",5436.10485321917
"96795",5390.88904753623
"96796",5378.52505597107
"96797",5281.22124947088
"96798",5378.23507942564
"96799",5443.96447227776
"96800",5665.13021179428
"96801",5923.25582154885
"96802",6268.02073685261
"96803",6750.33927861471
"96804",7231.20838885521
"96805",7474.44727365699
"96806",7258.15290333463
"96807",7244.8112178949
"96808",7009.83915298555
"96809",6913.15018771875
"96810",6815.09521130647
"96811",6612.37026583653
"96812",6505.09461328095
"96813",6137.68927955561
"96814",5944.94761446134
"96815",5644.71227852897
"96816",5999.54151115886
"96817",5274.14326691625
"96818",5688.9219270907
"96819",5276.25229706519
"96820",5055.14650154134
