"","V1"
"96608",6507.65498663183
"96609",6685.02637284077
"96610",6815.19985713378
"96611",7369.95473665445
"96612",7626.47657386257
"96613",7642.69290863891
"96614",7619.49996302253
"96615",7395.71063151601
"96616",7641.979714329
"96617",7624.50715966082
"96618",7347.30570467923
"96619",7414.3156705692
"96620",7272.02070237385
"96621",6550.43482272027
"96622",5613.56806058761
"96623",4985.9411916422
"96624",5715.16239607374
"96625",5937.81116242826
"96626",5157.45330833226
"96627",5019.13675830948
"96628",5008.3046854514
"96629",4760.85135276348
"96630",4582.64337901998
"96631",4625.4168408004
"96632",4577.24893985088
"96633",4553.93252888252
"96634",4617.60306396494
"96635",4750.3518694898
"96636",5098.86430228768
"96637",5429.15792398782
"96638",5858.8652116642
"96639",6365.75041624697
"96640",6566.10913600297
"96641",6928.87146854266
"96642",7308.7231876839
"96643",7148.2692439891
"96644",7001.7855235974
"96645",6791.83454401676
"96646",6594.37727603224
"96647",6544.70758572702
"96648",6206.0990569733
"96649",6103.35234885845
"96650",6186.15442012162
"96651",6171.56385016991
"96652",6261.88853704267
"96653",6241.70621944678
"96654",6242.50703714052
"96655",6374.23229968571
"96656",6505.19786495661
"96657",6650.06793142415
"96658",6839.43144446627
"96659",7181.11709599118
"96660",7458.08099247958
"96661",7382.18274658537
"96662",7062.49180411194
"96663",7069.76856072091
"96664",7169.87505844817
"96665",6903.98229681939
"96666",6533.17888241571
"96667",6396.8737178892
"96668",6255.57129910788
"96669",5828.64385842504
"96670",5508.2281620966
"96671",5422.55836799267
"96672",5734.05129338862
"96673",5756.36685555959
"96674",5242.9236200854
"96675",5101.8250875198
"96676",4946.6506661806
"96677",4769.4620919455
"96678",4652.52056819977
"96679",4557.121828645
"96680",4597.05799403963
"96681",4653.8684873366
"96682",4579.00328195292
"96683",4723.82681702474
"96684",5123.27898235114
"96685",5362.00080507176
"96686",5903.0827190436
"96687",6376.31302555103
"96688",6476.55608778146
"96689",6789.70194803919
"96690",7052.71858702126
"96691",6849.69200287275
"96692",6542.3267305329
"96693",6276.28260700662
"96694",6087.21371259069
"96695",5906.66330993128
"96696",5585.43022448363
"96697",5466.60973858233
"96698",5425.04034834367
"96699",5474.58808465614
"96700",5877.29067751272
"96701",6174.77836140205
"96702",5991.43989058172
"96703",6035.86543287394
"96704",6259.78512014766
"96705",6486.88059356515
"96706",6596.6845171964
"96707",7002.3754616439
"96708",7503.30941158812
"96709",7546.54667372277
"96710",7330.56371102825
"96711",7010.3498855614
"96712",6885.90784863713
"96713",6820.87118298824
"96714",6636.9224862283
"96715",6368.8409175142
"96716",6326.48091630812
"96717",6117.24106345389
"96718",5679.55488835014
"96719",5427.61406866712
"96720",5830.56600075781
"96721",5830.43175959801
"96722",5204.04317323245
"96723",5149.95358097425
"96724",5060.43202657287
"96725",4840.63976571684
"96726",4813.30115996201
"96727",4765.90135882976
"96728",4705.88108114924
"96729",4738.46548205999
"96730",4816.12303186813
"96731",4913.46066184433
"96732",5168.32548737484
"96733",5566.52091931532
"96734",6080.43822772384
"96735",6672.52608392053
"96736",6946.09402736099
"96737",7227.88902531007
"96738",7513.7900229091
"96739",7233.92957117727
"96740",6796.78474420611
"96741",6429.7178661167
"96742",6021.03934501434
"96743",5806.09366980662
"96744",5583.80902540053
"96745",5466.84758878206
"96746",5500.41029579914
"96747",5461.63840099381
"96748",5559.54085345141
"96749",5665.39829297123
"96750",5612.63241318154
"96751",5853.50767567307
"96752",6222.67773178935
"96753",6445.64862649775
"96754",6758.78264012849
"96755",7175.45694835454
"96756",7603.2964892327
"96757",7890.57214872871
"96758",7803.49689999864
"96759",7427.23579619913
"96760",7302.15848172826
"96761",7229.12071076545
"96762",6981.56545822181
"96763",6819.35352538753
"96764",6601.79029840175
"96765",6255.63823115547
"96766",6016.05538205501
"96767",5757.50922891613
"96768",6000.04044394264
"96769",5966.45644779178
"96770",5429.83427042433
"96771",5228.71943726207
"96772",5166.95168659896
"96773",5004.13524582254
"96774",4850.10243477419
"96775",4902.94190172354
"96776",4875.45132829732
"96777",4902.19651554699
"96778",4996.10240164795
"96779",5047.30386141429
"96780",5388.72982977358
"96781",5775.28463391196
"96782",6206.71520325725
"96783",6905.3954399757
"96784",7155.69682384526
"96785",7444.30074296396
"96786",7804.89426936146
"96787",7563.75591456642
"96788",7113.84130987876
"96789",6726.20314769656
"96790",6387.48875218417
"96791",5914.41104721457
"96792",5617.21090852869
"96793",5623.29359976483
"96794",5455.50537096056
"96795",5349.10416811861
"96796",5398.2440684534
"96797",5290.73804263846
"96798",5324.77866147606
"96799",5489.70722148446
"96800",5669.53694545665
"96801",6002.83149387735
"96802",6349.92910556866
"96803",6873.30639872826
"96804",7423.64365765122
"96805",7660.62976178358
"96806",7329.08966413957
"96807",7117.49915412711
"96808",7062.25425606767
"96809",6860.80779936517
"96810",6869.4127750842
"96811",6667.53466019239
"96812",6511.14599603172
"96813",6209.00438894308
"96814",5876.82454919049
"96815",5693.40132214127
"96816",5981.49342205933
"96817",5600.52006716274
"96818",5638.10295921038
"96819",5594.37051586714
"96820",4876.54208125211
"96821",4852.78856122748
"96822",4770.69270360072
"96823",4666.17105026532
"96824",4625.3574282602
"96825",4625.29169725999
"96826",4634.22299478177
"96827",4673.94536586314
"96828",4721.56556823651
"96829",4993.96273848494
"96830",5219.2046562536
"96831",5344.02705018522
"96832",5607.41983365154
"96833",6027.52127393482
"96834",6242.09400732057
"96835",6302.43065865063
"96836",6164.69358463065
"96837",5939.61138656122
"96838",5662.01685044444
"96839",5349.74834187075
"96840",5122.75617522526
"96841",4935.88895339085
"96842",4822.73274545447
"96843",4622.20437431495
"96844",4511.85032704491
"96845",4624.59269907364
"96846",4712.65997838894
"96847",4839.40231203322
"96848",5130.17131552005
"96849",5432.0432919014
"96850",5830.02483535966
"96851",6248.32761794538
"96852",6794.59820919015
"96853",7074.58964282695
"96854",6902.48850599195
"96855",6489.49616494079
"96856",6230.3015719912
"96857",6171.98763092988
"96858",6104.10232962027
"96859",5987.93195801221
"96860",5814.03554061395
"96861",5687.52613903306
"96862",5499.72316076036
"96863",5329.06003691497
"96864",5646.25563209019
"96865",5674.51438308199
"96866",5216.31577251519
"96867",5072.02352669689
"96868",5026.17962563759
"96869",4775.06674345447
"96870",4508.25546866758
"96871",4458.28820051991
"96872",4436.34939034598
"96873",4342.56513241114
"96874",4293.18400132363
"96875",4410.99907108072
"96876",4506.17349449665
"96877",4606.18815573249
"96878",4652.43600182609
"96879",4705.5505324452
"96880",4842.57653110004
"96881",5249.49859708819
"96882",5448.40072801083
"96883",5319.88901115062
"96884",5140.04677393815
"96885",4911.83913295983
"96886",4570.55895383132
"96887",4253.0607103474
"96888",3998.48960141257
"96889",3831.80642162583
"96890",3802.47803837656
"96891",3890.43116625646
"96892",4180.69231871211
"96893",4479.91960892953
"96894",4655.47383943572
"96895",4808.47626724085
"96896",5083.81314776413
"96897",5469.70773142267
"96898",5654.06360267519
"96899",5970.12443005026
"96900",6449.64679731164
"96901",6760.53003118267
"96902",6608.37422524773
"96903",6276.79062535087
"96904",6159.30570398143
"96905",6027.27518641823
"96906",5907.50231295721
"96907",5768.4231663079
"96908",5582.75501519044
"96909",5222.93903795267
"96910",4973.21934966264
"96911",4864.26715231267
"96912",5123.86721476123
"96913",5657.83609843234
"96914",4414.12337896342
"96915",4140.90644056184
"96916",4668.81507690366
"96917",4319.67980610802
"96918",4125.28102118975
"96919",4150.22168231206
"96920",4176.77471857518
"96921",4176.52387267995
"96922",4227.06062709581
"96923",4291.02494190798
"96924",4725.50405778582
"96925",5125.13090922951
"96926",5626.28873862052
"96927",6137.43522339913
"96928",6328.89705928175
"96929",6755.28203542972
"96930",6900.8998226129
"96931",6655.05911884323
"96932",6534.88792691404
"96933",6450.2068263086
"96934",6199.81060993299
"96935",5878.25328996415
"96936",5603.53793533067
"96937",5232.76891900807
"96938",4909.43734057758
"96939",4784.46140583617
"96940",4981.44542829559
"96941",5075.40802467258
"96942",4947.27945761489
"96943",5096.69273366387
"96944",5433.22720519187
"96945",5754.8518290347
"96946",6008.6957328686
"96947",6448.37154791197
"96948",6965.46320290363
"96949",7386.8139667481
"96950",7246.25562383225
"96951",6817.48910813729
"96952",6626.32585836872
"96953",6507.98424738334
"96954",6356.3394903019
"96955",6083.78566467893
"96956",5892.64049515934
"96957",5630.08517646009
"96958",5173.43708428094
"96959",4984.89450102107
"96960",5369.40677834736
"96961",5356.76883313639
"96962",4887.07543068078
"96963",4757.52215161523
"96964",4640.02507035835
"96965",4528.33648519417
"96966",4410.24232777284
"96967",4322.15717054231
"96968",4383.69244361379
"96969",4376.19249606882
"96970",4344.45923914698
"96971",4521.28985742398
"96972",4874.04355729413
"96973",5158.89819470342
"96974",5664.78294395283
"96975",6363.4893095038
"96976",6673.16758849203
"96977",6906.8247192765
"96978",6738.39940095542
"96979",6567.87558658105
"96980",6589.94242508436
"96981",6291.00105309793
"96982",5887.01300555802
"96983",5554.84545321243
"96984",5514.3116681089
"96985",5452.39921785952
"96986",5599.77156236105
"96987",5640.49051445121
"96988",5592.81171949577
"96989",5596.11196619084
"96990",5495.93394540408
"96991",5442.71065390542
"96992",5673.81151552658
"96993",6049.45047222287
"96994",6489.29981571605
"96995",6914.88306572683
"96996",7062.66097359496
"96997",7404.71910033934
"96998",7276.56153944954
"96999",6754.43276643748
"97000",6619.70858926926
"97001",6383.74939771562
"97002",6218.30096472526
"97003",5989.61689546204
"97004",5873.58057805233
"97005",5552.61325997388
"97006",5186.26584888135
"97007",4998.43219710369
"97008",5256.15377621865
"97009",5402.89006357603
"97010",4903.83581126686
"97011",4685.43295009248
"97012",4557.62690189127
"97013",4338.62047059008
"97014",4224.15571602858
"97015",4221.36906142712
"97016",4157.89393041711
"97017",4151.29171075796
"97018",4137.21451211088
"97019",4277.26808631482
"97020",4510.72952417239
"97021",4852.25767325047
"97022",5459.1076068041
"97023",6050.80474192783
"97024",6383.69347150932
"97025",6710.97516531818
"97026",6670.78095130353
"97027",6771.29265439058
"97028",6857.0998635424
"97029",6294.55069891757
"97030",6394.71441396854
"97031",6622.72205487338
"97032",6379.71417477468
"97033",6467.74391306545
"97034",6486.81307905609
"97035",6206.09819350507
"97036",6090.30389274721
"97037",6082.50920694013
"97038",5831.92143530041
"97039",5682.57825485645
"97040",5834.60336859245
"97041",6086.04918992817
"97042",6501.33488838124
"97043",6945.48427932517
"97044",7117.18480493494
"97045",7345.25271681505
"97046",7277.25262327908
"97047",6797.01744835941
"97048",6544.00018653318
"97049",6366.06030547207
"97050",6304.14611976555
"97051",6130.37865445828
"97052",5801.64067849846
"97053",5508.7748055696
"97054",5151.30674872078
"97055",5036.23432898876
"97056",5464.4360254837
"97057",5357.72700912626
"97058",4768.41106974234
"97059",4648.5951018589
"97060",4459.01282104167
"97061",4234.85160483325
"97062",4272.93234511008
"97063",4234.41260123782
"97064",4041.67540136964
"97065",3932.13464287705
"97066",4106.66352607219
"97067",4328.91878452816
"97068",4560.15240023392
"97069",4892.70345105557
"97070",5440.40984068867
"97071",6028.3507551233
"97072",6294.15003185018
"97073",6659.66315960863
"97074",6668.07018795577
"97075",6150.48972102691
"97076",5717.44918224905
"97077",5443.99846377589
"97078",4771.71971106512
"97079",4910.67344074094
"97080",5027.53457067808
"97081",4587.15031458374
"97082",4966.6824836765
"97083",5044.26890491657
"97084",5109.80886515635
"97085",5194.53470173657
"97086",4907.79888367516
"97087",4918.77014714204
"97088",5152.08251646474
"97089",5411.93753546075
"97090",5860.35797713794
"97091",6368.89445788241
"97092",6700.89017401987
"97093",6984.51181855281
"97094",6832.34579520254
"97095",6325.43475222018
"97096",6243.36293922991
"97097",6237.46106013872
"97098",6094.0898821054
"97099",5789.09231670113
"97100",5751.07759082938
"97101",5492.99132236283
"97102",5176.16432367379
"97103",5121.16634520343
"97104",5577.10081460514
"97105",4973.70588392828
"97106",4458.00094218637
"97107",4606.32598194848
"97108",4367.37757286958
"97109",4276.50605830153
"97110",4089.31139536028
"97111",4122.04511679891
"97112",4050.2947963161
"97113",4072.59438606339
"97114",4192.4013878425
"97115",4174.72989240018
"97116",4481.79071518713
"97117",4894.86285264875
"97118",5329.04799511826
"97119",5716.24647023628
"97120",5732.52818787427
"97121",6024.45280186827
"97122",6369.55540126599
"97123",6532.66074163613
"97124",6410.31048518357
"97125",6028.59893982961
"97126",5955.3608587398
"97127",5885.55536104918
"97128",5807.76980016385
"97129",5800.57659729765
"97130",5773.55494850675
"97131",5847.15502008731
"97132",5945.68402008021
"97133",5995.59484866659
"97134",5754.35727845999
"97135",5665.80107608625
"97136",5391.38934844104
"97137",5451.9164326249
"97138",6154.55257871647
"97139",6529.35472985258
"97140",6756.20440734732
"97141",6970.27266163939
"97142",6790.86487444802
"97143",6513.79565010775
"97144",6231.23786436087
"97145",6038.6089190455
"97146",5922.71579066357
"97147",5671.96562776164
"97148",5651.7156303362
"97149",5450.63879094141
"97150",5185.27276659124
"97151",4989.18361107729
"97152",5391.15829361621
"97153",4947.3499643441
"97154",4920.00508466532
"97155",4872.11831841714
"97156",4308.77632291401
"97157",4353.67939970433
"97158",4181.18847395411
"97159",4181.4038392313
